scheme,impl,pk_len,sig_len,sk_len,keygen_ns,keygen_p10_ns,keygen_p90_ns,keygen_iters,sign_ns,sign_p10_ns,sign_p90_ns,sign_iters,verify_ns,verify_p10_ns,verify_p90_ns,verify_iters,verify_cyc,vs_ed25519
Ed25519,fastcrypto (baseline),32,64,32,10417,10375,11209,1000,11167,11125,12000,1000,27917,27792,32459,1000,,1.00
FN-DSA-512,PQClean C,897,666,1281,8508334,6548875,12529333,132,2718292,2703291,2751458,370,24875,24791,25000,1000,,0.89
FN-DSA-1024,PQClean C,1793,1280,2305,24335500,20199000,42912417,35,5903250,5880834,5938916,169,49916,49541,50250,1000,,1.79
SLH-DSA-SHA2-128s,fastcrypto sphincs,32,7856,64,103267709,103036917,107251208,30,786767875,784446417,793552084,30,774625,772709,787500,1000,,27.75
ML-DSA-44,mysten wrapper (native),1312,2420,32,14959,14875,16125,1000,33250,20250,70625,1000,13625,13583,13750,1000,,0.49
**ML-DSA-65** (our pick),mysten wrapper (native),1952,3309,32,25500,25375,29292,1000,54250,31375,114667,1000,23083,23000,23166,1000,,0.83
ML-DSA-87,mysten wrapper (native),2592,4627,32,40459,40167,44417,1000,70458,49625,124625,1000,37667,37625,37791,1000,,1.35
ML-DSA-65,aws-lc-rs (NEAR pick),,,,28458,28375,28792,1000,60042,35000,126583,1000,24083,24000,24166,1000,,
ML-DSA-65,ml-dsa (RustCrypto),,,,134458,133750,137750,1000,249042,81167,698583,1000,33375,33333,33459,1000,,
ML-DSA-65,libcrux-ml-dsa,,,,60292,57334,64750,1000,156250,69417,389416,1000,47125,47000,47291,1000,,
ML-DSA-65,pqcrypto-mldsa (PQClean),,,,43625,43166,44125,1000,81584,40625,186083,1000,29625,29542,29750,1000,,
